release_year,specs
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Downloadable Content']"
2016,['Single-player']
2017,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer']"
2017,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Partial Controller Support', 'Steam Leaderboards']"
2017,"['Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content']"
2016,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Partial Controller Support']"
2017,"['Single-player', 'Online Multi-Player', 'Downloadable Content', 'Full controller support', 'In-App Purchases']"
2017,"['Single-player', 'Full controller support']"
2017,['Single-player']
2017,"['Single-player', 'Full controller support']"
2017,"['Single-player', 'Steam Cloud']"
2017,"['Single-player', 'Steam Cloud']"
2017,"['Single-player', 'Steam Cloud']"
2017,['Single-player']
2012,['Captions available']
2016,['Captions available']
2017,"['MMO', 'In-App Purchases']"
2017,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Downloadable Content']"
2017,"['Downloadable Content', 'Steam Workshop']"
2017,"['Downloadable Content', 'Steam Workshop']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud', 'Includes level editor']"
2017,['Single-player']
2017,"['Multi-player', 'Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Online Multi-Player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Partial Controller Support']"
2017,['Captions available']
2017,"['Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases']"
2017,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Valve Anti-Cheat enabled']"
2017,"['Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Includes level editor']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Full controller support']"
2017,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content']"
2014,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
2016,['Single-player']
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Includes level editor']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2002,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Commentary available']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Commentary available']"
2017,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Captions available']"
2017,['Steam Workshop']
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Commentary available']"
2011,['Single-player']
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Full controller support', 'Steam Trading Cards']"
2017,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,['Captions available']
2017,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Steam Achievements', 'Full controller support', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Full controller support', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Full controller support']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']"
2017,"['Online Multi-Player', 'Cross-Platform Multiplayer']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Full controller support']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Stats']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']"
2012,"['Single-player', 'Captions available', 'Steam Cloud']"
2013,"['Steam Achievements', 'Captions available', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Full controller support']"
2012,"['Single-player', 'Captions available', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Partial Controller Support']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications', 'Includes Source SDK']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Steam Cloud', 'Includes level editor', 'Includes Source SDK']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2010,['Captions available']
2017,"['Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Partial Controller Support']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Single-player']
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support']"
2017,"['Single-player', 'In-App Purchases', 'Partial Controller Support']"
2017,"['Single-player', 'Online Multi-Player', 'Online Co-op']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content']"
2017,['Single-player']
2017,"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'In-App Purchases']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Full controller support']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
2007,['Captions available']
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Turn Notifications']"
2017,"['Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'In-App Purchases']"
2017,"['Single-player', 'Online Multi-Player', 'Steam Achievements', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']"
2017,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content']"
2007,['Captions available']
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Online Co-op', 'Local Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Co-op', 'Local Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2016,"['Single-player', 'Multi-player', 'Shared/Split Screen']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Single-player']
2017,"['Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']"
2017,"['Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']"
2017,['Captions available']
2017,['Captions available']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Workshop', 'Includes level editor']"
2017,['Single-player']
2017,"['Single-player', 'Steam Trading Cards']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Online Multi-Player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['MMO', 'Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Captions available']
